OBJECTID,NO_CIV_LIE,PREFIX_TEM,NOM_TEMP,DIR_TEMP,MUN_TEMP,DESC_LIEU,LATITUDE,LONGITUDE
"2",4139.00000000000,BOUL,SOURCES DES,,DDO,POSTE DE QUARTIER 4,45.49440000020,-73.80730000050
"3",8930.00000000000,BOUL,PIE-IX,,MTL,POSTE DE QUARTIER 30,45.57770000030,-73.61739999990
"4",4555.00000000000,RUE,HOCHELAGA,,MTL,POSTE DE QUARTIER 23,45.55690000020,-73.54590000030
"5",11756.00000000000,BOUL,O'BRIEN,,MTL,POSTE DE QUARTIER 10,45.52850000000,-73.70100000040
"7",6100.00000000000,BOUL,HENRI-BOURASSA,,MTN,POSTE DE QUARTIER 39,45.60769999960,-73.61560000010
"8",395.00000000000,BOUL,ST-JEAN,,PCL,POSTE DE QUARTIER 5,45.44789999910,-73.81589999980
"9",21.00000000000,STRE,STANTON,,WES,POSTE DE QUARTIER 12,45.48640000080,-73.59870000000
"11",1625.00000000000,AVEN,EGLISE DE L',,MTL,POSTE DE QUARTIER 15,45.46370000020,-73.58500000000
"13",1498.00000000000,BOUL,ST-JEAN-BAPTISTE,,MTL,POSTE DE QUARTIER 49,45.64159999970,-73.50540000010
"14",920.00000000000,RUE,BELANGER,,MTL,POSTE DE QUARTIER 35,45.53979999940,-73.60910000000
"15",1761.00000000000,RUE,GRENET,,VSL,POSTE DE QUARTIER 7,45.51840000040,-73.69670000020
"16",2883.00000000000,BOUL,ST-CHARLES,,KIR,POSTE DE QUARTIER 1,45.44730000010,-73.85230000040
"17",170.00000000000,AVEN,15E,,LAC,POSTE DE QUARTIER 8,45.43439999970,-73.67710000000
"19",6850.00000000000,BOUL,JOSEPH-RENAUD,,ANJ,POSTE DE QUARTIER 46,45.60500000040,-73.55300000030
"20",5501.00000000000,AVEN,WESTMINSTER,,CSL,POSTE DE QUARTIER 9,45.45979999940,-73.66210000030
"21",1033.00000000000,RUE,RACHEL,E,MTL,POSTE DE QUARTIER 38,45.52549999950,-73.57519999980
"22",8745.00000000000,BOUL,LASALLE,,LAS,POSTE DE QUARTIER 13,45.41550000010,-73.62170000000
"23",1200.00000000000,AVEN,PAPINEAU,,MTL,POSTE DE QUARTIER 22,45.52170000040,-73.55100000000
"24",7405.00000000000,AVEN,MOUNTAIN-SIGHTS,,MTL,POSTE DE QUARTIER 26,45.49609999920,-73.65160000040
"30",4807.00000000000,RUE,MOLSON,,MTL,POSTE DE QUARTIER 44,45.54240000060,-73.56929999960
"31",1805.00000000000,RUE,FLEURY,E,MTL,POSTE DE QUARTIER 27,45.56860000080,-73.65359999980
"35",750.00000000000,RUE,WILLIBRORD,,VER,POSTE DE QUARTIER 16,45.45920000040,-73.57330000030
"36",855.00000000000,BOUL,CREMAZIE,E,MTL,POSTE DE QUARTIER 33,45.54979999920,-73.63499999980
"38",6255.00000000000,AVEN,SOMERLED,,MTL,POSTE DE QUARTIER 11,45.47110000070,-73.63549999990
"39",14680.00000000000,BOUL,PIERREFONDS DE,,PRF,POSTE DE QUARTIER 3,45.48609999940,-73.85720000040
"41",8200.00000000000,BOUL,MAURICE-DUPLESSIS,,MTL,POSTE DE QUARTIER 45,45.63330000080,-73.58640000040
"44",7920.00000000000,BOUL,ST-LAURENT,,MTL,POSTE DE QUARTIER 31,45.53769999930,-73.62889999990
"49",1432.00000000000,RUE,STE-CATHERINE,O,MTL,POSTE DE QUARTIER 20,45.49609999920,-73.57650000040
"50",6680.00000000000,RUE,SHERBROOKE,E,MTL,POSTE DE QUARTIER 48,45.58339999990,-73.54239999970
"55",8181.00000000000,BOUL,LACORDAIRE,,STL,POSTE DE QUARTIER 42,45.58530000040,-73.59410000030
"56",1669.00000000000,RUE,BERRI,,MTL,POSTE DE QUARTIER 21,45.51649999990,-73.56309999990
